id,split,supplier,template,scan_profile,invoice_date,payment_status,total_ttc
inv_0149,dev,Doukkala Hygiène SNC,minimal,scan,2026-02-09,paid,14451.41
inv_0150,test,Tingis Équipement SA,minimal,scan,2025-04-24,paid,47957.97
inv_0151,dev,Maghreb Distribution SARL AU,classic,scan,2025-03-24,paid,13884.0
inv_0152,dev,Rif Négoce SA,classic,bad,2025-04-07,paid,16848.35
inv_0153,dev,Maghreb Distribution SARL AU,classic,bad,2026-08-19,paid,5760.55
inv_0154,dev,Tingis Logistique SARL,minimal,scan,2026-03-26,paid,3852.0
inv_0155,dev,Doukkala Hygiène SNC,minimal,scan,2025-03-12,paid,73367.77
inv_0156,test,Tingis Équipement SA,minimal,scan,2025-02-02,paid,27119.15
inv_0157,dev,Oum Errabia Informatique SARL,modern,clean,2025-03-04,paid,57810.3
inv_0158,test,Maghreb Electro SNC,minimal,scan,2026-08-14,paid,68324.88
inv_0159,dev,Sahara Hygiène SNC,classic,scan,2025-02-05,paid,7885.9
inv_0160,dev,Oum Errabia Informatique SARL,modern,scan,2026-04-17,paid,10724.81
inv_0161,dev,Oum Errabia Informatique SARL,modern,scan,2025-02-08,paid,18288.73
inv_0162,test,Tingis Équipement SA,minimal,scan,2026-05-30,paid,22595.1
inv_0163,dev,Souss Informatique SNC,modern,scan,2026-05-15,unpaid,11828.63
inv_0164,test,Souss Matériaux SARL,minimal,clean,2025-05-30,paid,5250.0
inv_0165,test,Tingis Équipement SA,minimal,scan,2025-01-15,paid,34291.87
inv_0166,dev,Maghreb Distribution SARL AU,classic,clean,2025-06-24,unpaid,23081.51
inv_0167,dev,Bouregreg Import Export SARL AU,modern,scan,2025-04-21,paid,36934.82
inv_0168,dev,Souss Informatique SNC,modern,bad,2025-06-10,unpaid,17522.81
inv_0169,dev,Rif Services SARL,modern,scan,2026-03-04,paid,25885.73
inv_0170,dev,Rif Services SARL,modern,scan,2025-11-22,unpaid,51967.5
inv_0171,dev,Tingis Logistique SARL,minimal,scan,2026-01-18,paid,27238.23
inv_0172,dev,Sahara Hygiène SNC,classic,scan,2026-01-25,paid,47141.95
inv_0173,dev,Tafilalet Conseil SNC,classic,scan,2026-06-14,paid,81560.82
inv_0174,dev,Oum Errabia Informatique SARL,modern,clean,2026-01-07,paid,53158.46
inv_0175,dev,Rif Négoce SA,classic,scan,2025-09-17,paid,36269.87
inv_0176,dev,Bouregreg Import Export SARL AU,modern,scan,2026-08-15,unpaid,61703.4
inv_0177,dev,Bouregreg Import Export SARL AU,modern,scan,2026-03-14,unpaid,89673.84
inv_0178,test,Tafilalet Équipement SNC,modern,bad,2025-11-21,paid,68755.73
inv_0179,test,Tafilalet Équipement SNC,modern,bad,2026-06-03,paid,5382.0
inv_0180,dev,Souss Informatique SNC,modern,scan,2026-04-19,unpaid,3672.0
inv_0181,test,Souss Matériaux SARL,minimal,scan,2026-07-02,paid,24113.43
inv_0182,dev,Rif Négoce SA,classic,scan,2026-05-11,paid,37837.68
inv_0183,dev,Doukkala Hygiène SNC,minimal,scan,2025-11-25,paid,49257.85
inv_0184,test,Tafilalet Équipement SNC,modern,clean,2026-07-08,paid,7512.0
inv_0185,dev,Tafilalet Conseil SNC,classic,scan,2025-12-31,paid,36237.06
inv_0186,dev,Bouregreg Import Export SARL AU,modern,bad,2026-04-10,unpaid,42837.84
inv_0187,dev,Oum Errabia Informatique SARL,modern,scan,2026-06-30,paid,57704.93
inv_0188,test,Souss Matériaux SARL,minimal,clean,2026-04-01,paid,26552.06
inv_0189,dev,Rif Services SARL,modern,bad,2025-05-31,unpaid,51149.12
inv_0190,test,Maghreb Electro SNC,minimal,scan,2025-04-23,paid,65187.22
inv_0191,test,Tafilalet Équipement SNC,modern,scan,2025-05-18,paid,16007.2
inv_0192,test,Souss Matériaux SARL,minimal,bad,2025-07-10,paid,13816.0
inv_0193,dev,Tingis Logistique SARL,minimal,scan,2026-04-22,paid,41083.55
inv_0194,test,Tafilalet Équipement SNC,modern,scan,2026-04-30,paid,2160.0
inv_0195,dev,Rif Services SARL,modern,scan,2026-01-14,paid,15163.15
inv_0196,test,Tafilalet Équipement SNC,modern,bad,2025-02-23,paid,61478.62
inv_0197,test,Tafilalet Équipement SNC,modern,scan,2025-04-11,paid,54227.97
inv_0198,dev,Rif Négoce SA,classic,scan,2025-05-03,paid,20606.85
inv_0199,dev,Doukkala Négoce SARL,classic,scan,2025-10-11,paid,59532.17
inv_0200,dev,Doukkala Négoce SARL,classic,scan,2025-01-20,paid,33948.0
